Timestamp,Player Name,Player UUID,Class,ID,Name,Position,Change,Old Data,New Data
"2025-01-19T22:59:08.235Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(-285, 120, -499)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-19T23:02:25.289Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(-285, 120, -482)
(150, 120, -1)","CREATE","{}","{
  ""type"": ""DIAMOND"",
  ""one_way"": false
}"
"2025-01-19T23:11:38.244Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(-285, 120, -498)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-19T23:12:54.780Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(-285, 120, -482)
(-285, 120, -502)","CREATE","{}","{
  ""type"": ""PLATFORM"",
  ""one_way"": false
}"
"2025-01-19T23:14:20.684Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(-285, 120, -521)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-19T23:14:42.581Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(-285, 120, -522)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-19T23:14:47.033Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(-285, 120, -522)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-19T23:15:35.832Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(-285, 120, -502)
(-285, 120, -504)","CREATE","{}","{
  ""type"": ""DIAMOND"",
  ""one_way"": false
}"
"2025-01-19T23:16:02.879Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(-285, 120, -504)
(-285, 120, -523)","CREATE","{}","{
  ""type"": ""SIDING"",
  ""one_way"": false
}"
"2025-01-19T23:16:04.681Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(-285, 120, -525)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-19T23:18:32.279Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Station","[-6249654929877513935]","","","CREATE","{}","{
  ""id"": -6249654929877513935,
  ""transport_mode"": ""TRAIN"",
  ""name"": """",
  ""color"": 0,
  ""x_min"": -278,
  ""z_min"": -491,
  ""x_max"": -273,
  ""z_max"": -487,
  ""zone"": 0,
  ""exits"": {}
}"
"2025-01-19T23:18:37.281Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Station","[-6249654929877513935]","","","EDIT","{
  ""x_min"": -278,
  ""z_min"": -491,
  ""x_max"": -273,
  ""z_max"": -487
}","{
  ""x_min"": -289,
  ""z_min"": -508,
  ""x_max"": -281,
  ""z_max"": -485
}"
"2025-01-19T23:18:37.775Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Station","[-6249654929877513935]","","","EDIT","{
  ""x_min"": -289,
  ""z_min"": -508,
  ""x_max"": -281,
  ""z_max"": -485
}","{
  ""x_min"": -288,
  ""z_min"": -503,
  ""x_max"": -287,
  ""z_max"": -501
}"
"2025-01-19T23:18:40.223Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Station","[-6249654929877513935]","","","EDIT","{
  ""z_min"": -503,
  ""x_max"": -287,
  ""z_max"": -501
}","{
  ""z_min"": -500,
  ""x_max"": -281,
  ""z_max"": -483
}"
"2025-01-19T23:18:56.073Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Station","[-6249654929877513935]","Portal Al End","","EDIT","{
  ""name"": """",
  ""color"": 0
}","{
  ""name"": ""Portal Al End"",
  ""color"": 15169931
}"
"2025-01-19T23:19:11.626Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Depot","[-5319378939268432287]","","","CREATE","{}","{
  ""id"": -5319378939268432287,
  ""transport_mode"": ""TRAIN"",
  ""name"": """",
  ""color"": 0,
  ""x_min"": -281,
  ""z_min"": -511,
  ""x_max"": -280,
  ""z_max"": -507,
  ""route_ids"": [],
  ""use_real_time"": false,
  ""repeat_infinitely"": false,
  ""cruising_altitude"": 256,
  ""frequencies"": [
    0,
    0,
    0,
    0,
    0,
    0,
    0,
    0,
    0,
    0,
    0,
    0,
    0,
    0,
    0,
    0,
    0,
    0,
    0,
    0,
    0,
    0,
    0,
    0
  ],
  ""departures"": []
}"
"2025-01-19T23:19:14.131Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Depot","[-5319378939268432287]","","","EDIT","{
  ""x_min"": -281,
  ""z_min"": -511,
  ""x_max"": -280,
  ""z_max"": -507
}","{
  ""x_min"": -290,
  ""z_min"": -520,
  ""x_max"": -284,
  ""z_max"": -513
}"
"2025-01-19T23:19:16.138Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Depot","[-5319378939268432287]","","","EDIT","{
  ""x_min"": -290,
  ""z_min"": -520,
  ""x_max"": -284,
  ""z_max"": -513
}","{
  ""x_min"": -287,
  ""z_min"": -519,
  ""x_max"": -283,
  ""z_max"": -505
}"
"2025-01-19T23:19:19.361Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Depot","[-5319378939268432287]","","","EDIT","{
  ""x_min"": -287,
  ""x_max"": -283,
  ""z_max"": -505
}","{
  ""x_min"": -285,
  ""x_max"": -284,
  ""z_max"": -508
}"
"2025-01-19T23:19:22.531Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Depot","[-5319378939268432287]","","","EDIT","{
  ""x_min"": -285,
  ""z_min"": -519,
  ""x_max"": -284,
  ""z_max"": -508
}","{
  ""x_min"": -287,
  ""z_min"": -520,
  ""x_max"": -282,
  ""z_max"": -500
}"
"2025-01-19T23:19:29.064Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Depot","[-5319378939268432287]","1 end","","EDIT","{
  ""name"": """",
  ""color"": 0
}","{
  ""name"": ""1 end"",
  ""color"": 11064443
}"
